,user_id,version,minutes_play,day_1_active,day_7_active
1591,3092,treatment,27.733482978324727,True,False
530,2031,treatment,35.65770066038216,True,True
1190,1191,control,21.460551807707358,True,True
1151,1152,control,55.558944592278266,True,True
488,1989,treatment,53.50676031030868,False,False
347,348,control,31.797515657713152,False,False
384,1885,treatment,27.539099661368056,False,False
1151,2652,treatment,56.558944592278266,True,False
1008,1009,control,21.923006598028486,True,True
218,1719,treatment,23.387057552398762,False,False
544,2045,treatment,27.688717017175282,False,False
383,384,control,21.17171012277963,False,False
1766,3267,treatment,37.24134454794508,False,True
1310,2811,treatment,33.3340731182877,False,True
661,662,control,37.471284116768416,False,False
415,1916,treatment,13.910082234507968,False,False
866,2367,treatment,29.20411499020898,False,False
1491,2992,treatment,20.07310725022586,False,False
540,2041,treatment,19.849600465805594,True,False
709,710,control,49.43160170724708,True,True
1400,2901,treatment,40.87428449757573,False,False
228,1729,treatment,18.626467873121463,False,False
980,981,control,27.273455384622164,True,True
853,854,control,13.32310771852099,False,False
836,837,control,44.485765853244516,False,False
295,1796,treatment,37.957873191396075,False,False
1463,1464,control,28.10617812267303,False,False
616,617,control,25.266450299292096,True,True
1707,3208,treatment,20.077996535679027,False,True
508,509,control,12.985039052523078,False,False
1289,2790,treatment,26.951030255860946,False,True
361,1862,treatment,37.73491278098325,False,False
920,921,control,34.26701799175218,False,False
1808,3309,treatment,36.930700051303134,True,False
1470,2971,treatment,43.07530265850362,False,False
411,1912,treatment,34.254636281821305,False,False
864,2365,treatment,46.755009358424054,True,True
727,728,control,37.47392961546316,True,True
449,450,control,30.658062824628313,False,False
1368,2869,treatment,25.940168842146797,False,False
792,793,control,19.429442226603975,True,True
1675,3176,treatment,22.94438013642318,False,False
1472,2973,treatment,36.37244861053865,False,False
1559,3060,treatment,38.09693140162369,False,False
559,2060,treatment,34.43257980977566,True,False
290,291,control,19.252334068811248,False,False
519,2020,treatment,33.437657605308736,False,False
463,1964,treatment,25.012682333215707,True,False
870,2371,treatment,34.30816771275753,False,False
709,2210,treatment,50.43160170724708,True,True
655,656,control,28.436402727707005,True,True
1564,3065,treatment,22.887301663642283,False,True
1536,3037,treatment,21.787163032774572,False,False
1680,3181,treatment,33.15369597889294,True,False
1108,2609,treatment,46.252499340034205,False,False
1383,1384,control,27.363713013269052,False,False
1279,1280,control,18.969501389839223,False,False
1443,2944,treatment,39.47517369828904,False,False
246,1747,treatment,37.30488030489918,False,False
1035,1036,control,37.720459273385046,False,False
639,2140,treatment,39.009296466651264,False,False
1080,1081,control,31.60059792796489,False,False
1285,1286,control,29.35742213110787,False,False
1261,2762,treatment,17.032408240650245,False,True
269,1770,treatment,35.20179596988361,False,False
1478,1479,control,41.349446942859345,False,False
774,775,control,27.54402334051229,False,False
868,869,control,41.314436080657686,False,False
1357,2858,treatment,20.195379047511246,False,False
1221,1222,control,29.23859547042292,True,True
705,2206,treatment,38.72845395672908,False,False
1198,1199,control,21.236732613745136,False,False
382,383,control,16.9421413365836,True,True
1379,1380,control,37.40198479386552,False,False
101,102,control,10.221120684795512,False,False
408,409,control,30.359405025039184,True,True
1351,1352,control,22.03703535709495,False,False
1705,3206,treatment,18.465619935623106,False,True
1654,3155,treatment,35.82914942272258,False,False
1295,1296,control,31.385014637062476,True,True
1251,2752,treatment,28.87350329286057,True,False
1032,2533,treatment,34.59687059566396,False,True
1509,3010,treatment,19.98577730185027,True,False
795,796,control,21.543555716047702,False,False
1159,2660,treatment,33.32869132339545,False,False
240,1741,treatment,33.90874387424923,False,False
1741,3242,treatment,26.281082696473185,True,False
1266,1267,control,30.6671530922406,False,False
1058,1059,control,10.749413270888397,False,False
1237,1238,control,28.925821014301263,False,False
324,325,control,35.232184412826314,True,True
1043,2544,treatment,24.197371974771528,False,True
1562,3063,treatment,34.67705494371077,False,False
1347,2848,treatment,23.104287257268595,False,True
1267,1268,control,36.594413957456624,False,False
407,1908,treatment,24.341430329806123,True,True
9,1510,treatment,22.332595977348983,False,True
495,1996,treatment,36.67880067453997,True,False
1404,2905,treatment,37.45303764823642,False,False
439,440,control,33.10122520626526,True,True
286,287,control,13.46302161032359,True,True
423,1924,treatment,20.15231228746918,False,False
1149,2650,treatment,15.368432938507908,False,True
1301,1302,control,39.86250572789827,False,False
1243,1244,control,26.067692850939117,False,False
280,281,control,17.48810126526805,False,False
1530,3031,treatment,40.10299664445367,True,False
477,1978,treatment,38.5094459718968,False,False
877,2378,treatment,25.976687117303257,False,False
334,335,control,28.970893857373294,True,True
610,611,control,32.79943571256923,False,False
1235,2736,treatment,40.160412606558886,False,False
1215,1216,control,17.66438296944773,False,False
732,2233,treatment,27.038440775903016,False,False
1495,1496,control,32.15801695532873,True,True
236,237,control,40.32479715753378,True,True
798,2299,treatment,25.529343549825903,False,True
358,359,control,11.115076196131849,False,False
543,544,control,42.20568913714527,False,False
1779,3280,treatment,45.82163456708382,False,True
107,108,control,11.38024289208213,False,False
1323,1324,control,33.36296344884556,True,True
1474,1475,control,33.3778387098271,True,True
1505,3006,treatment,23.848444915810212,False,False
898,899,control,40.239055049925405,False,False
879,880,control,39.97957385677161,False,False
1205,1206,control,18.131133000996453,False,False
318,319,control,29.863961143246488,False,False
589,2090,treatment,44.33190702843233,False,True
1361,1362,control,22.037539411720367,True,True
1819,3320,treatment,29.048915297874114,True,False
880,2381,treatment,26.24352232093561,True,True
1397,2898,treatment,28.9878397172241,False,True
847,848,control,32.31017267343371,False,False
608,609,control,34.13863081535757,False,False
813,2314,treatment,47.296113186459586,False,False
888,2389,treatment,11.578504567488398,False,False
304,305,control,28.559866525197073,True,True
498,1999,treatment,34.1158150338288,False,True
64,1565,treatment,45.172990464768525,True,False
500,501,control,37.52033668267281,False,False
751,752,control,24.46595671198435,True,True
1345,2846,treatment,21.047721548213534,False,False
1212,1213,control,39.34100620407984,False,False
163,1664,treatment,38.04474074043603,False,False
509,510,control,27.614349817963937,False,False
1845,3346,treatment,44.8349130825932,False,False
802,803,control,20.79353457386634,False,False
1176,1177,control,28.419418242327435,False,False
1384,1385,control,37.691547640535305,True,True
1081,1082,control,28.219873856754763,False,False
42,43,control,26.09100206244899,False,False
531,2032,treatment,16.821055119703306,False,False
166,167,control,45.23663776478527,False,False
79,80,control,13.94037239282597,False,False
31,32,control,2.0141089453927563,False,False
1484,1485,control,29.25436307163879,True,True
578,2079,treatment,50.298324339990224,False,False
889,890,control,44.18729275510063,False,False
955,2456,treatment,10.497823226169029,True,False
315,316,control,28.695553110153764,False,False
231,232,control,37.538687788376365,False,False
199,200,control,27.82053737897058,True,True
1410,1411,control,37.26136289888056,False,False
1040,1041,control,21.128085749947267,False,False
1344,2845,treatment,28.733869253374,False,False
1394,2895,treatment,27.979043242306926,True,False
837,2338,treatment,39.92200085137838,False,False
767,2268,treatment,30.643945153901704,True,False
1672,3173,treatment,45.74405015912123,True,True
920,2421,treatment,35.26701799175218,True,True
58,1559,treatment,45.956441370334694,True,False
1769,3270,treatment,28.20881120553647,False,True
322,1823,treatment,27.242500890180736,True,False
878,2379,treatment,40.73644379799159,True,True
1560,3061,treatment,29.265263653586732,False,False
1096,1097,control,36.112378264403965,True,True
578,579,control,49.298324339990224,False,False
1256,1257,control,41.45684213401224,False,False
89,1590,treatment,32.64441230229825,False,False
434,1935,treatment,40.04306220134642,True,True
936,937,control,34.85475226078092,False,False
779,2280,treatment,27.5174188116062,False,True
444,445,control,41.1340167803588,False,False
808,2309,treatment,28.797075346999364,False,False
1457,1458,control,26.74208390849175,False,False
583,584,control,31.602937210962732,False,False
460,1961,treatment,30.606706653550845,False,False
512,513,control,49.30850867048302,False,False
1748,3249,treatment,23.71922135723667,True,False
1391,2892,treatment,36.18714881940642,False,True
575,2076,treatment,40.74386203344494,False,False
329,330,control,34.49135613359717,True,True
331,332,control,48.687264568398085,True,True
252,253,control,23.175490658000193,False,False
954,2455,treatment,33.38501212187909,False,False
680,2181,treatment,39.90916750478691,False,False
365,366,control,30.59291133894707,False,False
1540,3041,treatment,12.255015962809832,False,False
355,356,control,26.06689148218843,False,False
487,488,control,40.30379331152028,False,False
102,103,control,37.12264635470518,True,True
564,565,control,47.160403221121314,False,False
849,850,control,31.34970109990294,False,False
1215,2716,treatment,18.66438296944773,False,False
936,2437,treatment,35.85475226078092,True,False
1175,1176,control,33.50009136607213,True,True
924,925,control,30.230522082594703,False,False
1487,1488,control,44.43551764351746,True,True
174,175,control,34.03085961219367,True,True
336,337,control,31.4242558501294,True,True
376,1877,treatment,26.208770546856474,True,False
798,799,control,24.529343549825903,False,False
949,2450,treatment,26.783158992248474,False,False
353,354,control,20.689979961252764,False,False
178,179,control,26.083801892803983,True,True
182,1683,treatment,44.953529297569546,False,True
1480,2981,treatment,27.768656671773,False,False
751,2252,treatment,25.46595671198435,False,False
390,391,control,38.88992917594855,False,False
1587,3088,treatment,38.78009730185,False,False
1497,1498,control,29.57992681428765,False,False
1364,1365,control,52.14242036435874,False,False
1185,1186,control,37.29604119515761,True,True
229,230,control,31.240558964466487,False,False
158,159,control,43.77257482867307,False,False
1826,3327,treatment,35.39470036651236,False,False
647,648,control,20.274436764325344,True,True
85,86,control,19.140975988731334,False,False
1093,1094,control,10.578678340817529,True,True
346,1847,treatment,30.66310768459061,True,False
337,338,control,35.412312971976725,True,True
1048,1049,control,25.024312169510043,False,False
79,1580,treatment,14.94037239282597,False,False
861,862,control,17.028999803333484,False,False
337,1838,treatment,36.412312971976725,True,False
722,2223,treatment,38.71846635560763,True,False
1023,1024,control,21.395732399077616,True,True
831,2332,treatment,41.797963503009356,True,False
1047,2548,treatment,30.296161639087103,True,False
266,267,control,36.359427056445895,False,False
1576,3077,treatment,50.64889405339291,False,False
235,1736,treatment,26.658334797484088,True,False
815,2316,treatment,29.51594612440129,False,False
894,895,control,35.233426304345436,False,False
177,1678,treatment,24.88774659695175,True,False
1059,1060,control,38.41630623306655,False,False
763,2264,treatment,11.744131092356476,True,False
551,552,control,29.043472555067005,False,False
1157,2658,treatment,34.61815346982234,True,True
11,1512,treatment,30.052910310631088,False,False
851,852,control,29.463905399286578,False,False
860,2361,treatment,34.045151754260445,False,False
33,1534,treatment,24.001227654020827,False,False
1431,2932,treatment,22.139955108442788,False,False
1388,2889,treatment,33.60374658524301,True,False
977,2478,treatment,30.50988301205539,False,False
216,217,control,38.96058313409948,False,False
807,808,control,24.857596092889292,False,False
151,152,control,32.837253557710376,True,True
622,2123,treatment,36.81589802861189,False,False
472,1973,treatment,40.8647401870094,True,False
313,314,control,36.40218680419847,False,False
1126,1127,control,28.805138901912454,False,False
994,2495,treatment,26.80359258389892,True,False
822,823,control,26.859256257577254,False,False
835,2336,treatment,30.826087777698028,True,False
915,916,control,24.869493895565995,False,False
262,263,control,28.78551324595978,False,False
1464,1465,control,30.59943192747618,False,False
207,1708,treatment,21.846929300560213,False,False
959,2460,treatment,31.432505428983532,False,False
462,463,control,11.29602521252799,False,False
1147,1148,control,24.81646794730933,False,False
371,1872,treatment,25.110294535293214,False,True
1418,2919,treatment,36.9373112124953,True,False
183,184,control,26.41064073757739,False,False
1838,3339,treatment,40.090309931108514,False,True
636,637,control,40.42335368440993,False,False
1842,3343,treatment,47.21530633447649,False,False
546,2047,treatment,3.118871169149976,False,False
1601,3102,treatment,41.65382946436495,True,False
860,861,control,33.045151754260445,False,False
824,825,control,31.035680373233287,True,True
202,203,control,52.00702099217128,False,False
631,632,control,27.041709320943614,False,False
1199,1200,control,15.747890390789355,True,True
114,1615,treatment,41.127390539563706,False,False
1137,1138,control,35.38803273625781,True,True
804,2305,treatment,17.801084406400896,False,False
1336,1337,control,37.86903221911645,True,True
967,2468,treatment,26.10220219586591,False,True
355,1856,treatment,27.06689148218843,False,False
1153,2654,treatment,39.14098473576613,False,False
1580,3081,treatment,1.6977715563202338,True,True
716,717,control,21.79624479865263,False,False
1760,3261,treatment,23.40524898110173,False,False
1526,3027,treatment,34.029112965556294,True,False
1022,2523,treatment,28.056042998103553,True,False
143,1644,treatment,34.32764977254117,True,False
1060,1061,control,43.32199883894906,False,False
141,1642,treatment,32.302149541579695,True,True
738,739,control,24.719594491181688,False,False
766,2267,treatment,9.305920415879633,False,False
1738,3239,treatment,32.93589005944582,False,False
26,1527,treatment,40.07105195800301,False,False
673,674,control,25.83654714700224,True,True
501,2002,treatment,31.69640749485356,True,False
641,2142,treatment,21.799068915103867,False,False
1415,2916,treatment,23.234213320562414,True,False
1397,1398,control,27.9878397172241,True,True
1043,1044,control,23.197371974771528,False,False
1016,1017,control,51.58170199583578,False,False
999,1000,control,18.885695522376455,False,False
1616,3117,treatment,25.964154315504942,False,False
1534,3035,treatment,21.310552453774775,False,True
404,405,control,29.913395332584145,False,False
565,2066,treatment,44.08193563988715,False,True
413,1914,treatment,35.818742570187155,True,True
619,2120,treatment,27.202696724198645,False,False
1716,3217,treatment,29.006724151392774,False,False
1719,3220,treatment,20.793315001935376,True,True
1017,1018,control,21.591213828601397,False,False
1065,2566,treatment,39.80535748923597,False,False
1123,2624,treatment,25.47855916167215,True,False
1802,3303,treatment,28.95683465222757,False,True
214,1715,treatment,24.308973737665546,False,False
82,83,control,46.609524881479395,True,True
350,351,control,26.76140216214654,False,False
443,1944,treatment,32.10453109290565,True,False
563,564,control,30.06029327171035,False,False
1225,2726,treatment,29.435538618351938,False,False
138,139,control,45.188656236315396,False,False
70,1571,treatment,35.684391194456445,True,False
1133,2634,treatment,44.93066240582993,False,False
777,2278,treatment,32.26180680880619,True,True
191,192,control,29.70031992952458,True,True
1485,1486,control,13.862688994575791,False,False
376,377,control,25.208770546856474,False,False
1469,2970,treatment,27.368512615044633,False,False
1414,2915,treatment,36.05229211106964,True,False
601,602,control,22.118344411123402,True,True
1787,3288,treatment,34.80344789644355,False,False
1556,3057,treatment,32.31489256394618,True,False
679,2180,treatment,34.52271582071473,False,False
536,2037,treatment,46.88067885594262,False,True
1612,3113,treatment,19.264749047916524,True,False
199,1700,treatment,28.82053737897058,True,True
2,3,control,32.82978498051992,True,True
1398,1399,control,36.52305279154744,False,False
115,116,control,32.787408560959996,False,False
1051,1052,control,32.452653748964664,True,True
491,492,control,27.676426035072602,True,True
1124,1125,control,36.73255488772644,False,False
1401,2902,treatment,33.77448801882143,False,True
57,1558,treatment,48.548861819811094,True,False
16,1517,treatment,53.05930082725456,True,False
1294,2795,treatment,37.508242887315824,False,False
150,1651,treatment,33.538164765496276,False,False
1671,3172,treatment,24.21626188605067,True,True
251,252,control,38.350587468112366,True,True
942,943,control,18.876357291628132,False,False
1041,1042,control,22.350188837763188,True,True
953,954,control,36.50154900967002,True,True
820,2321,treatment,38.63160514154516,False,False
1131,1132,control,20.30202396493133,False,False
129,1630,treatment,25.360760684735276,False,False
1781,3282,treatment,4.6207751271162145,False,True
1600,3101,treatment,25.515816572288323,False,False
647,2148,treatment,21.274436764325344,True,False
1385,2886,treatment,24.176689543323196,True,False
1241,1242,control,23.246657644559896,False,False
144,145,control,35.56548704910044,False,False
362,1863,treatment,26.862431186199377,True,False
1507,3008,treatment,34.655368966372414,True,False
760,2261,treatment,43.318717886239696,False,True
632,633,control,9.476015950233943,False,False
181,182,control,44.59589268228421,True,True
469,1970,treatment,37.13067728028843,True,True
234,1735,treatment,34.22576737997204,True,False
1101,2602,treatment,46.75649745966478,False,True
81,82,control,23.111310161530785,False,False
398,1899,treatment,29.315735683695273,False,True
1306,1307,control,39.579899440945056,True,True
1138,2639,treatment,21.946997347584706,False,False
702,2203,treatment,47.13381535261024,False,True
375,376,control,36.90777272915643,False,False
574,2075,treatment,43.55464321946314,True,True
1631,3132,treatment,39.50720674117465,True,True
467,1968,treatment,34.85066102777271,False,False
848,2349,treatment,24.07947398279145,True,True
1282,2783,treatment,27.331886163475488,True,True
572,573,control,43.30630776360648,False,False
17,1518,treatment,52.86786088973787,False,False
1086,2587,treatment,37.20277356117697,False,False
309,310,control,28.735624362903657,False,False
24,25,control,17.461193322509878,False,False
47,1548,treatment,35.12912160308779,False,False
899,900,control,27.899435873541822,False,False
904,905,control,27.079958372297586,False,False
1478,2979,treatment,42.349446942859345,False,False
718,719,control,33.01290483982576,False,False
306,1807,treatment,23.956578528712416,False,False
653,2154,treatment,26.978402649274823,False,False
536,537,control,45.88067885594262,False,False
1045,2546,treatment,34.13091929551947,False,False
351,1852,treatment,29.11703141506333,False,False
928,929,control,15.872205140034106,False,False
919,2420,treatment,40.335850943946724,True,False
871,872,control,45.18629560365495,False,False
179,1680,treatment,32.39978106114564,False,True
503,504,control,39.29584469942711,True,True
1050,1051,control,19.893829639280494,False,False
674,675,control,30.38166312002008,False,False
1277,1278,control,41.323757784574674,False,False
626,2127,treatment,23.40164911407337,True,False
1332,1333,control,25.962868946568648,True,True
923,924,control,26.8574941348057,False,False
1444,2945,treatment,25.715992450655676,True,False
1488,1489,control,22.95279577375394,False,False
907,2408,treatment,8.27382289045698,False,False
1329,2830,treatment,25.797482886659203,True,False
646,647,control,22.825141626927728,True,True
1002,1003,control,37.18150542551844,False,False
726,727,control,33.92078046551669,False,False
1287,1288,control,31.168018689130513,True,True
305,306,control,43.166055958635525,False,False
1149,1150,control,14.368432938507908,True,True
1068,1069,control,42.59736542871634,False,False
1109,2610,treatment,32.52339752873943,False,False
1409,2910,treatment,17.53961315434654,False,True
1014,1015,control,32.61272553135375,False,False
895,896,control,32.387606717297054,False,False
1324,1325,control,23.918247395689335,False,False
472,473,control,39.8647401870094,False,False
650,2151,treatment,39.87766068573464,False,False
832,2333,treatment,26.78921494594986,False,True
1456,2957,treatment,31.804140935526643,True,False
662,663,control,23.201721076002123,True,True
649,2150,treatment,41.882204764493444,False,False
925,2426,treatment,44.38220531930588,False,False
353,1854,treatment,21.689979961252764,False,False
761,762,control,15.927314366042326,False,False
268,269,control,42.18985862132426,True,True
1239,1240,control,32.400029522854425,False,False
563,2064,treatment,31.06029327171035,True,True
179,180,control,31.399781061145635,True,True
184,185,control,24.513578718138017,False,False
51,1552,treatment,20.612117897950466,True,False
972,2473,treatment,30.51985808249543,False,False
1103,2604,treatment,33.8446955672955,True,True
74,75,control,8.768996499575582,False,False
734,735,control,5.7516367454475095,False,False
1583,3084,treatment,39.12811870496868,True,True
387,388,control,37.44819312395116,True,True
817,2318,treatment,29.12096061223227,False,False
524,2025,treatment,26.51608361539059,True,True
129,130,control,24.360760684735276,False,False
873,2374,treatment,20.07364675493268,False,False
420,1921,treatment,17.19648676345701,True,True
232,233,control,27.531842230589245,False,False
1659,3160,treatment,32.5047701594143,False,False
453,454,control,23.623078611867584,True,True
1087,2588,treatment,28.40658365707293,False,False
303,1804,treatment,37.11123550055911,True,False
782,783,control,16.00766131390413,False,False
952,2453,treatment,35.727748574495344,True,True
996,997,control,40.699185989273516,False,False
1461,2962,treatment,46.00922621656731,False,False
490,1991,treatment,15.965416007506056,False,False
553,2054,treatment,13.371022655989254,True,True
219,1720,treatment,31.03645154973778,False,True
467,468,control,33.85066102777271,True,True
1162,2663,treatment,30.71054055023261,False,False
846,847,control,24.59311662627497,True,True
781,2282,treatment,10.579035845045766,True,False
1496,2997,treatment,16.602642923206492,False,True
1670,3171,treatment,13.840985100453686,False,True
453,1954,treatment,24.623078611867584,True,False
995,2496,treatment,37.347631315935224,True,True
1476,1477,control,48.36868503726597,False,False
1475,2976,treatment,28.82606826128191,False,False
1483,1484,control,30.623597886355032,False,False
510,2011,treatment,35.161238144776256,True,False
215,216,control,46.12193042812388,False,False
1490,2991,treatment,30.14794607706278,False,False
794,795,control,29.899673472426166,False,False
1209,2710,treatment,23.688480623385917,True,False
1085,1086,control,32.40936864070513,False,False
1447,1448,control,47.21215798139392,False,False
206,207,control,29.13477713617865,False,False
1455,2956,treatment,29.879047082449215,False,False
149,1650,treatment,32.43307732507873,True,True
632,2133,treatment,10.476015950233943,False,False
1490,1491,control,29.14794607706278,True,True
1420,1421,control,34.067278362636955,True,True
1687,3188,treatment,16.065981853370793,False,False
406,1907,treatment,13.489296508076304,True,True
371,372,control,24.110294535293214,False,False
568,569,control,32.47979884747539,True,True
